example_id                                                          | status | run_time        |
------------------------------------------------------------------- | ------ | --------------- |
./spec-rspec/unit/bitcoin/bech32_spec.rb[1:1:1:1]                   | passed | 0.00087 seconds |
./spec-rspec/unit/bitcoin/bech32_spec.rb[1:1:1:2]                   | passed | 0.00016 seconds |
./spec-rspec/unit/bitcoin/bech32_spec.rb[1:1:1:3]                   | passed | 0.00069 seconds |
./spec-rspec/unit/bitcoin/bech32_spec.rb[1:2:1:1]                   | passed | 0.00112 seconds |
./spec-rspec/unit/bitcoin/bech32_spec.rb[1:2:1:2]                   | passed | 0.00119 seconds |
./spec-rspec/unit/bitcoin/bech32_spec.rb[1:2:1:3]                   | passed | 0.00016 seconds |
./spec-rspec/unit/bitcoin/bitcoin_spec.rb[1:1:1]                    | passed | 0.00011 seconds |
./spec-rspec/unit/bitcoin/bitcoin_spec.rb[1:2:1:1]                  | passed | 0.00016 seconds |
./spec-rspec/unit/bitcoin/bitcoin_spec.rb[1:2:2:1]                  | passed | 0.0001 seconds  |
./spec-rspec/unit/bitcoin/bitcoin_spec.rb[1:3:1:1]                  | passed | 0.00011 seconds |
./spec-rspec/unit/bitcoin/bitcoin_spec.rb[1:3:1:2]                  | passed | 0.00012 seconds |
./spec-rspec/unit/bitcoin/bitcoin_spec.rb[1:3:2:1]                  | passed | 0.00011 seconds |
./spec-rspec/unit/bitcoin/bitcoin_spec.rb[1:3:2:2]                  | passed | 0.00014 seconds |
./spec-rspec/unit/bitcoin/bitcoin_spec.rb[1:4:1:1]                  | passed | 0.00016 seconds |
./spec-rspec/unit/bitcoin/bitcoin_spec.rb[1:4:2:1]                  | passed | 0.0002 seconds  |
./spec-rspec/unit/bitcoin/bitcoin_spec.rb[1:5:1:1]                  | passed | 0.00022 seconds |
./spec-rspec/unit/bitcoin/bitcoin_spec.rb[1:5:1:2]                  | passed | 0.00011 seconds |
./spec-rspec/unit/bitcoin/bitcoin_spec.rb[1:5:1:3]                  | passed | 0.00041 seconds |
./spec-rspec/unit/bitcoin/bitcoin_spec.rb[1:5:2:1]                  | passed | 0.00107 seconds |
./spec-rspec/unit/bitcoin/bitcoin_spec.rb[1:5:2:2]                  | passed | 0.00011 seconds |
./spec-rspec/unit/bitcoin/bitcoin_spec.rb[1:5:2:3]                  | passed | 0.00047 seconds |
./spec-rspec/unit/bitcoin/bitcoin_spec.rb[1:6:1:1]                  | passed | 0.0002 seconds  |
./spec-rspec/unit/bitcoin/bitcoin_spec.rb[1:6:1:2]                  | passed | 0.00011 seconds |
./spec-rspec/unit/bitcoin/bitcoin_spec.rb[1:6:2:1]                  | passed | 0.00022 seconds |
./spec-rspec/unit/bitcoin/bitcoin_spec.rb[1:6:2:2]                  | passed | 0.0001 seconds  |
./spec-rspec/unit/bitcoin/bitcoin_spec.rb[1:7:1:1]                  | passed | 0.00018 seconds |
./spec-rspec/unit/bitcoin/bitcoin_spec.rb[1:7:1:2]                  | passed | 0.00027 seconds |
./spec-rspec/unit/bitcoin/bitcoin_spec.rb[1:7:1:3]                  | passed | 0.28965 seconds |
./spec-rspec/unit/bitcoin/bitcoin_spec.rb[1:7:1:4]                  | passed | 0.00026 seconds |
./spec-rspec/unit/bitcoin/bitcoin_spec.rb[1:7:2:1]                  | passed | 0.0004 seconds  |
./spec-rspec/unit/bitcoin/bitcoin_spec.rb[1:7:2:2]                  | passed | 0.00056 seconds |
./spec-rspec/unit/bitcoin/bitcoin_spec.rb[1:7:2:3]                  | passed | 0.27855 seconds |
./spec-rspec/unit/bitcoin/bitcoin_spec.rb[1:7:2:4]                  | passed | 0.00024 seconds |
